sample	half	quarter
SAMEA8742138	half_2	quarter_4
SAMEA8742148	half_1	quarter_2
SAMEA9070366	half_2	quarter_3
SAMEA919852	half_2	quarter_3
SAMEA919886	half_1	quarter_2
SAMEA919898	half_2	quarter_4
SAMEA95415418	half_1	quarter_2
SAMEA95435668	half_1	quarter_2
SAMEA95437168	half_1	quarter_1
SAMEA95440168	half_1	quarter_1
SAMEA95494918	half_1	quarter_2
SAMEA95502418	half_2	quarter_4
SAMEA95508418	half_1	quarter_1
SAMEA95514418	half_2	quarter_4
SAMEA95520418	half_1	quarter_1
SAMEA968118	half_2	quarter_4
SAMEA968152	half_1	quarter_1
SAMN02339316	half_1	quarter_1
SAMN02843204	half_1	quarter_1
SAMN05328080	half_1	quarter_2
SAMN06920044	half_2	quarter_4
SAMN07236512	half_1	quarter_1
SAMN07236540	half_2	quarter_4
SAMN07411206	half_2	quarter_3
SAMN07999044	half_2	quarter_4
SAMN07999046	half_2	quarter_4
SAMN07999066	half_1	quarter_1
SAMN07999082	half_1	quarter_1
